puma_id,statefip,puma,puma_name,cbsa,cbsa_name,overlap_pct,is_metro,is_micro
5105906,51,05906,"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5105907,51,05907,"Fairfax County (East Central)--Annandale, West Falls Church & Baileys Crossroads",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5105908,51,05908,"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5106100,51,06100,Rappahannock-Rapidan Regional Commission,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.8019,TRUE,FALSE
5106900,51,06900,Northern Shenandoah Valley Regional Commission (North),49020,"Winchester, VA-WV",0.8899,TRUE,FALSE
5107300,51,07300,"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions PUM",,Non-metropolitan,,FALSE,FALSE
5108300,51,08300,Southside Planning District Commission & Commonwealth Regional Council,,Non-metropolitan,,FALSE,FALSE
5108501,51,08501,"King William, New Kent, Charles City & Eastern Hanover Counties",40060,"Richmond, VA",1,TRUE,FALSE
5108701,51,08701,"Henrico County (South & East)--Highland Springs, East Highland Park & Glen Allen",40060,"Richmond, VA",1,TRUE,FALSE
5108702,51,08702,"Henrico County (West)--Tuckahoe, Short Pump & Wyndham",40060,"Richmond, VA",1,TRUE,FALSE
5109500,51,09500,"James City, York Counties, Williamsburg & Poquoson Cities",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5110701,51,10701,Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5110702,51,10702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5110703,51,10703,Loudoun County (West & South)--Leesburg Town,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5110901,51,10901,Thomas Jefferson Planning District Commission (South & East),16820,"Charlottesville, VA",0.6874,TRUE,FALSE
5112100,51,12100,New River Valley Planning District Commission,13980,"Blacksburg-Christiansburg, VA",0.9149,TRUE,FALSE
5114300,51,14300,West Piedmont Planning District Commission,19260,"Danville, VA",0.5569,TRUE,TRUE
5114501,51,14501,"Goochland, Powhatan & Western Hanover Counties",40060,"Richmond, VA",1,TRUE,FALSE
5114900,51,14900,Crater Planning District Commission,40060,"Richmond, VA",0.8684,TRUE,FALSE
5115301,51,15301,Prince William County (North & West)--Linton Hall & Gainesville,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5115302,51,15302,Prince William County (Northeast),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5115303,51,15303,Prince William County (East),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5116101,51,16101,Roanoke Valley-Alleghany Regional Commission (Outside Roanoke & Salem Cities),40220,"Roanoke, VA",0.8967,TRUE,FALSE
